participant,date,model number,building,x,y,error
1,2020-08-03 13:39:58 UTC,0,Harvey House,372,476,78.51751397
1,2020-08-03 13:39:58 UTC,0,Batty House,151,9,290.7662291
1,2020-08-03 13:39:58 UTC,0,Harris Hall,385,194,172.9855485
1,2020-08-03 13:39:58 UTC,0,Lynch Station,212,40,216.9239498
1,2020-08-03 13:39:58 UTC,0,Golledge Hall,7,286,557.0224412
1,2020-08-03 13:39:58 UTC,0,Sauer Center,188,333,546.4000366
1,2020-08-03 13:39:58 UTC,0,Snow Church,13,170,703.8707268
1,2020-08-03 13:39:58 UTC,0,Tobler Museum,34,495,591.4473772
3,2020-08-03 17:29:01 UTC,0,Lynch Station,634,4,633.4698099
3,2020-08-03 17:29:01 UTC,0,Golledge Hall,347,89,296.4675362
3,2020-08-03 17:29:01 UTC,0,Snow Church,137,428,620.4595071
3,2020-08-03 17:29:01 UTC,0,Sauer Center,304,426,529.4166601
3,2020-08-03 17:29:01 UTC,0,Tobler Museum,594,423,317.493307
3,2020-08-03 17:29:01 UTC,0,Harvey House,26,18,538.4356972
3,2020-08-03 17:29:01 UTC,0,Harris Hall,159,97,140.6307221
3,2020-08-03 17:29:01 UTC,0,Batty House,720,196,697.1549326
4,2020-08-03 19:06:49 UTC,0,Tobler Museum,668,18,203.5706266
4,2020-08-03 19:06:49 UTC,0,Lynch Station,86,152,79.12016178
4,2020-08-03 19:06:49 UTC,0,Batty House,460,290,433.3739725
4,2020-08-03 19:06:49 UTC,0,Golledge Hall,201,484,411.1179879
4,2020-08-03 19:06:49 UTC,0,Snow Church,251,348,486.491521
4,2020-08-03 19:06:49 UTC,0,Sauer Center,372,33,254.5446916
4,2020-08-03 19:06:49 UTC,0,Harvey House,609,214,415.5309856
4,2020-08-03 19:06:49 UTC,0,Harris Hall,210,41,185.0675552
5,2020-08-03 20:59:13 UTC,0,Golledge Hall,150,468,450.2499306
5,2020-08-03 20:59:13 UTC,0,Snow Church,109,396,636.3411035
5,2020-08-03 20:59:13 UTC,0,Sauer Center,149,237,529.5280918
5,2020-08-03 20:59:13 UTC,0,Tobler Museum,228,107,265.4241888
5,2020-08-03 20:59:13 UTC,0,Harvey House,686,17,610.481777
5,2020-08-03 20:59:13 UTC,0,Harris Hall,549,84,362.9325006
5,2020-08-03 20:59:13 UTC,0,Lynch Station,384,189,377.6360682
5,2020-08-03 20:59:13 UTC,0,Batty House,355,359,339.3420104
7,2020-08-10 16:09:45 UTC,0,Sauer Center,329,16,296.2043214
7,2020-08-10 16:09:45 UTC,0,Golledge Hall,412,408,191.8150151
7,2020-08-10 16:09:45 UTC,0,Tobler Museum,158,129,335.0731263
7,2020-08-10 16:09:45 UTC,0,Snow Church,446,141,277.4815309
7,2020-08-10 16:09:45 UTC,0,Lynch Station,247,179,241.3503677
7,2020-08-10 16:09:45 UTC,0,Harvey House,435,303,230.2281477
7,2020-08-10 16:09:45 UTC,0,Harris Hall,445,224,230.0086955
7,2020-08-10 16:09:45 UTC,0,Batty House,163,347,155.3093687
11,2020-08-13 20:17:14 UTC,0,Batty House,35,405,133.2403843
11,2020-08-13 20:17:14 UTC,0,Lynch Station,156,285,216.0023148
11,2020-08-13 20:17:14 UTC,0,Harris Hall,460,423,314.3787525
11,2020-08-13 20:17:14 UTC,0,Harvey House,710,453,417.2289539
11,2020-08-13 20:17:14 UTC,0,Golledge Hall,553,220,71.84705979
11,2020-08-13 20:17:14 UTC,0,Snow Church,431,105,302.0347662
11,2020-08-13 20:17:14 UTC,0,Sauer Center,208,108,429.5323038
11,2020-08-13 20:17:14 UTC,0,Tobler Museum,9,73,486.4740486
