participant,date,direction test,start landmark,facing landmark,target landmark,bearing,actual direction,abs error,same or different route,error in pointing task
1,2011-06-06 22:45:34 UTC,0,Batty House,Lynch Station,Harris Hall,28,37.5286373,9.528637304,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Batty House,Lynch Station,Golledge Hall,9,51.76768154,42.76768154,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Batty House,Lynch Station,Harvey House,27,93.19423766,66.19423766,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Batty House,Lynch Station,Tobler Museum,32,37.30802198,5.308021981,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Batty House,Lynch Station,Snow Church,3,48.19947553,45.19947553,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Batty House,Lynch Station,Sauer Center,13,30.3316951,17.3316951,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Batty House,Lynch Station,Lynch Station,28,47.32798389,19.32798389,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Lynch Station,Harris Hall,Snow Church,72,8.968174613,63.03182539,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Lynch Station,Harris Hall,Harris Hall,23,7.021704671,15.97829533,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Lynch Station,Harris Hall,Tobler Museum,89,17.95076442,71.04923558,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Lynch Station,Harris Hall,Harvey House,18,48.19593801,30.19593801,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Lynch Station,Harris Hall,Golledge Hall,94,3.323863738,90.67613626,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Lynch Station,Harris Hall,Batty House,134,130.6542463,3.345753667,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Lynch Station,Harris Hall,Sauer Center,58,29.20903342,28.79096658,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Harris Hall,Harvey House,Snow Church,96,84.7281122,11.2718878,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Harris Hall,Harvey House,Harvey House,15,2.146796904,12.8532031,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Harris Hall,Harvey House,Golledge Hall,143,77.71082192,65.28917808,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Harris Hall,Harvey House,Tobler Museum,133,99.95984558,33.04015442,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Harris Hall,Harvey House,Sauer Center,107,110.6574336,3.657433634,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Harris Hall,Harvey House,Lynch Station,118,114.5627943,3.437205722,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Harris Hall,Harvey House,Batty House,91,83.35216568,7.647834315,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Harvey House,Harris Hall,Harris Hall,26,4.196894849,21.80310515,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Harvey House,Harris Hall,Golledge Hall,72,64.9530254,7.046974597,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Harvey House,Harris Hall,Snow Church,99,66.19140238,32.80859762,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Harvey House,Harris Hall,Lynch Station,11,32.28246429,21.28246429,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Harvey House,Harris Hall,Tobler Museum,67,42.14615863,24.85384137,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Harvey House,Harris Hall,Batty House,16,46.54689912,30.54689912,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Harvey House,Harris Hall,Sauer Center,88,46.29205396,41.70794604,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Golledge Hall,Snow Church,Tobler Museum,140,147.0284471,7.028447062,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Golledge Hall,Snow Church,Harris Hall,101,176.2022806,75.20228061,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Golledge Hall,Snow Church,Snow Church,2,1.204134401,0.795865599,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Golledge Hall,Snow Church,Sauer Center,75,76.21088344,1.210883445,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Golledge Hall,Snow Church,Batty House,150,173.5694617,23.56946175,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Golledge Hall,Snow Church,Lynch Station,129,173.9683139,44.96831391,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Golledge Hall,Snow Church,Harvey House,66,139.9309368,73.93093678,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Snow Church,Sauer Center,Sauer Center,8,0.279262352,7.720737648,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Snow Church,Sauer Center,Golledge Hall,124,125.8431145,1.84311455,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Snow Church,Sauer Center,Batty House,69,90.64700942,21.64700942,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Snow Church,Sauer Center,Tobler Museum,52,63.69277617,11.69277617,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Snow Church,Sauer Center,Lynch Station,82,79.44851915,2.551480846,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Snow Church,Sauer Center,Harvey House,118,119.6929579,1.69295786,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Snow Church,Sauer Center,Harris Hall,102,88.09346154,13.90653846,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Sauer Center,Tobler Museum,Harris Hall,23,4.240040564,18.75995944,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Sauer Center,Tobler Museum,Tobler Museum,11,2.713388186,8.286611814,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Sauer Center,Tobler Museum,Batty House,51,6.744508622,44.25549138,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Sauer Center,Tobler Museum,Snow Church,94,89.63525726,4.364742741,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Sauer Center,Tobler Museum,Lynch Station,33,17.76205492,15.23794508,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Sauer Center,Tobler Museum,Golledge Hall,50,51.85616181,1.856161813,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Sauer Center,Tobler Museum,Harvey House,79,23.09134403,55.90865597,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Tobler Museum,Sauer Center,Golledge Hall,81,67.30353066,13.69646934,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Tobler Museum,Sauer Center,Lynch Station,135,156.2355625,21.23556255,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Tobler Museum,Sauer Center,Harvey House,70,147.248191,77.248191,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Tobler Museum,Sauer Center,Sauer Center,0,20.69981416,20.69981416,same,TRUE
1,2011-06-06 22:45:34 UTC,0,Tobler Museum,Sauer Center,Batty House,148,171.0086651,23.00866514,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Tobler Museum,Sauer Center,Harris Hall,156,173.2852643,17.28526433,different,TRUE
1,2011-06-06 22:45:34 UTC,0,Tobler Museum,Sauer Center,Snow Church,33,38.78279809,5.782798086,same,TRUE
